TRAFFIC_DATE,TRAFFIC_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,CONTRIBUTING_FACTOR_VEHICLE,REFERENCE_ID,TRAFFIC_VEHICLE_TYPE_CODE 1,TRAFFIC_VEHICLE_TYPE_CODE2,Junction,Label,Results
29-08-20,1:59:00,BRONX,10469.0,40.86091,-73.84428,POINT (-73.84428 40.86091),,,1452 WARING AVENUE,Driver Inattention/Distraction,4342689,Sedan,,3,0,0
29-08-20,18:30:00,MANHATTAN,10037.0,40.81342,-73.93715,POINT (-73.93715 40.81342),5 AVENUE,WEST 136 STREET,,Reaction to Uninvolved Vehicle,4343622,Sedan,Sedan,4,0,0
29-08-20,0:00:00,BROOKLYN,11203.0,40.649475,-73.92395,POINT (-73.92395 40.649475),,,5649 KINGS HIGHWAY,Unspecified,4342960,Sedan,,1,1,1
29-08-20,9:50:00,,,40.69982,-73.996254,POINT (-73.996254 40.69982),BROOKLYN QUEENS EXPRESSWAY,,,Fell Asleep,4342834,Sedan,,5,1,1
29-08-20,2:34:00,BROOKLYN,11207.0,40.688393,-73.91025,POINT (-73.91025 40.688393),,,126 COVERT STREET,Unsafe Speed,4343532,Sedan,Sedan,2,0,0
29-08-20,11:34:00,MANHATTAN,10016.0,40.749725,-73.98363,POINT (-73.98363 40.749725),EAST 36 STREET,5 AVENUE,,Traffic Control Disregarded,4343006,Sedan,Sedan,4,1,1
29-08-20,12:18:00,BROOKLYN,11237.0,40.693657,-73.907425,POINT (-73.907425 40.693657),,,1292 HALSEY STREET,Driver Inexperience,4343516,Sedan,Station Wagon/Sport Utility Vehicle,6,0,0
29-08-20,21:50:00,,,,,,HARLEM RIVER DRIVE RAMP,,,Unspecified,4343053,Sedan,Station Wagon/Sport Utility Vehicle,4,1,1
29-08-20,13:15:00,,,40.81344,-73.94135,POINT (-73.94135 40.81344),WEST 134 STREET,,,Driver Inattention/Distraction,4343180,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2,0,0
29-08-20,23:50:00,MANHATTAN,10037.0,40.812897,-73.93548,POINT (-73.93548 40.812897),,,2190 MADISON AVENUE,Unspecified,4343339,Sedan,Station Wagon/Sport Utility Vehicle,4,1,1
29-08-20,14:50:00,BRONX,10451.0,40.818012,-73.92519,POINT (-73.92519 40.818012),EAST 149 STREET,PARK AVENUE,,Driver Inattention/Distraction,4343141,Taxi,Station Wagon/Sport Utility Vehicle,3,1,1
29-08-20,5:40:00,,,,,,PROSPECT EXPRESSWAY RAMP,,,Unspecified,4342699,Station Wagon/Sport Utility Vehicle,,2,1,1
29-08-20,0:50:00,BRONX,10460.0,40.843548,-73.87031,POINT (-73.87031 40.843548),MORRIS PARK AVENUE,TAYLOR AVENUE,,Other Vehicular,4342686,E-Bike,,3,0,0
29-08-20,21:50:00,BROOKLYN,11213.0,40.668648,-73.92835,POINT (-73.92835 40.668648),EASTERN PARKWAY,ROCHESTER AVENUE,,Passing Too Closely,4342970,Sedan,Sedan,4,0,0
29-08-20,5:28:00,QUEENS,11375.0,40.72657,-73.85265,POINT (-73.85265 40.72657),67 ROAD,QUEENS BOULEVARD,,Driver Inattention/Distraction,4342706,Taxi,Taxi,1,1,1
29-08-20,7:30:00,BROOKLYN,11234.0,40.618317,-73.923904,POINT (-73.923904 40.618317),,,1640 EAST 53 STREET,Fell Asleep,4343243,Sedan,Station Wagon/Sport Utility Vehicle,4,0,0
29-08-20,10:00:00,QUEENS,11385.0,40.70969,-73.921585,POINT (-73.921585 40.70969),,,1710 FLUSHING AVENUE,Unspecified,4342887,Pick-up Truck,,2,1,1
29-08-20,13:15:00,,,40.693436,-73.97784,POINT (-73.97784 40.693436),SAINT EDWARDS STREET,,,Unspecified,4342971,Station Wagon/Sport Utility Vehicle,,4,0,0
29-08-20,14:15:00,QUEENS,11373.0,40.735123,-73.87524,POINT (-73.87524 40.735123),,,88-01 QUEENS BOULEVARD,Driver Inexperience,4343000,Sedan,,2,1,1
29-08-20,19:45:00,,,40.839478,-73.883896,POINT (-73.883896 40.839478),BOSTON ROAD,VYSE AVENUE,,Unspecified,4343218,,,4,0,0
29-08-20,9:45:00,QUEENS,11366.0,40.7307,-73.790855,POINT (-73.790855 40.7307),73 AVENUE,179 STREET,,Following Too Closely,4342702,Sedan,Sedan,1,1,1
29-08-20,10:52:00,BRONX,10469.0,40.869762,-73.83677,POINT (-73.83677 40.869762),,,2913 BRUNER AVENUE,Unspecified,4342917,Station Wagon/Sport Utility Vehicle,,5,0,0
29-08-20,15:45:00,,,40.63562,-74.135056,POINT (-74.135056 40.63562),,,252 PORT RICHMOND AVENUE,Unspecified,4343563,Sedan,Station Wagon/Sport Utility Vehicle,3,0,0
29-08-20,0:29:00,,,40.66003,-73.92179,POINT (-73.92179 40.66003),EAST 95 STREET,,,Passing or Lane Usage Improper,4342959,Sedan,Station Wagon/Sport Utility Vehicle,2,1,1
29-08-20,14:00:00,MANHATTAN,10032.0,40.842915,-73.9366,POINT (-73.9366 40.842915),WEST 172 STREET,AUDUBON AVENUE,,Following Too Closely,4343049,Sedan,Sedan,1,1,1
29-08-20,21:40:00,BRONX,10466.0,40.89084,-73.85699,POINT (-73.85699 40.89084),,,754 EAST 230 STREET,Unsafe Speed,4343031,Station Wagon/Sport Utility Vehicle,Sedan,3,0,0
29-08-20,13:40:00,BROOKLYN,11204.0,40.61879,-73.99426,POINT (-73.99426 40.61879),17 AVENUE,68 STREET,,Traffic Control Disregarded,4342711,Sedan,Sedan,2,0,0
29-08-20,5:45:00,STATEN ISLAND,10304.0,40.591736,-74.09668,POINT (-74.09668 40.591736),JEFFERSON STREET,ALTER AVENUE,,Animals Action,4342764,Sedan,,4,1,1
29-08-20,17:05:00,BROOKLYN,11203.0,40.656902,-73.947334,POINT (-73.947334 40.656902),,,702 NEW YORK AVENUE,Brakes Defective,4342725,Station Wagon/Sport Utility Vehicle,Sedan,2,0,0
29-08-20,23:30:00,QUEENS,11423.0,40.714676,-73.76283,POINT (-73.76283 40.714676),197 STREET,91 AVENUE,,Unsafe Speed,4343452,Station Wagon/Sport Utility Vehicle,Sedan,1,1,1
29-08-20,7:00:00,MANHATTAN,10128.0,40.78519,-73.94934,POINT (-73.94934 40.78519),EAST 96 STREET,3 AVENUE,,Following Too Closely,4343123,Taxi,Station Wagon/Sport Utility Vehicle,3,1,1
29-08-20,4:06:00,BRONX,10467.0,40.87916,-73.87715,POINT (-73.87715 40.87916),RESERVOIR OVAL WEST,TRYON AVENUE,,Alcohol Involvement,4342680,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4,0,0
29-08-20,19:20:00,,,40.689835,-73.9147,POINT (-73.9147 40.689835),EVERGREEN AVENUE,,,Passing or Lane Usage Improper,4343521,Station Wagon/Sport Utility Vehicle,Sedan,2,0,0
29-08-20,16:41:00,BROOKLYN,11234.0,40.612923,-73.9221,POINT (-73.9221 40.612923),,,5414 AVENUE T,Unspecified,4343236,Sedan,Station Wagon/Sport Utility Vehicle,3,1,1
29-08-20,16:10:00,QUEENS,11101.0,40.744026,-73.92616,POINT (-73.92616 40.744026),39 STREET,QUEENS BOULEVARD,,Driver Inattention/Distraction,4343379,Sedan,Station Wagon/Sport Utility Vehicle,1,1,1
29-08-20,0:00:00,QUEENS,11385.0,40.700405,-73.9054,POINT (-73.9054 40.700405),,,1723 CORNELIA STREET,,4342891,,,2,0,0
29-08-20,12:40:00,QUEENS,11378.0,40.719624,-73.91132,POINT (-73.91132 40.719624),RUST STREET,GRAND AVENUE,,Unspecified,4342900,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0
29-08-20,18:00:00,,,40.67036,-73.77779,POINT (-73.77779 40.67036),137 AVENUE,,,Driver Inattention/Distraction,4342747,Sedan,Bike,3,1,1
29-08-20,18:25:00,,,40.652554,-73.92078,POINT (-73.92078 40.652554),RALPH AVENUE,CHURCH AVENUE,,Unspecified,4343097,Sedan,Station Wagon/Sport Utility Vehicle,4,1,1
29-08-20,21:15:00,MANHATTAN,10013.0,40.718884,-73.999275,POINT (-73.999275 40.718884),,,201 CENTRE STREET,Unsafe Lane Changing,4343316,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0
29-08-20,17:35:00,,,40.634884,-73.93343,POINT (-73.93343 40.634884),EAST 45 STREET,,,Glare,4342956,Station Wagon/Sport Utility Vehicle,Bike,3,1,1
29-08-20,15:00:00,BROOKLYN,11212.0,40.669518,-73.911934,POINT (-73.911934 40.669518),,,1663 PITKIN AVENUE,Other Vehicular,4342792,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2,0,0
29-08-20,23:09:00,,,40.749283,-73.756645,POINT (-73.756645 40.749283),LONG ISLAND EXPRESSWAY,,,Reaction to Uninvolved Vehicle,4342927,Station Wagon/Sport Utility Vehicle,Tractor Truck Gasoline,3,1,1
29-08-20,9:00:00,QUEENS,11360.0,40.77965,-73.775444,POINT (-73.775444 40.77965),,,23-98 BELL BOULEVARD,Backing Unsafely,4342774,Sedan,,2,0,0
29-08-20,18:50:00,MANHATTAN,10016.0,40.749725,-73.98363,POINT (-73.98363 40.749725),5 AVENUE,EAST 36 STREET,,Turning Improperly,4343059,Sedan,Station Wagon/Sport Utility Vehicle,1,1,1
29-08-20,20:39:00,QUEENS,11373.0,40.737694,-73.88224,POINT (-73.88224 40.737694),QUEENS BOULEVARD,51 AVENUE,,Driver Inexperience,4342836,Motorcycle,Sedan,3,1,1
